nctid	criterion	cluster
NCT00546156	Patients must have preoperative treatment within 60 days of initial diagnosis of breast cancer	4
NCT00546156	No other malignancy that requires on-going treatment	15
NCT00546156	Normal organ function as outlined in the protocol	15
NCT00548184	All patients must be female.	18
NCT00548184	Signed informed consent.	5
NCT00548184	Locally advanced breast cancers or primary breast cancers are eligible. Locally advanced cancers must be of clinical and/or radiologic size \>3 cm, or \>2 cm with clinical evidence of axillary nodal involvement. (If tumors are less than 3 cm, we will use radiologically measured tumor size to determine the minimal tumor size for eligibility and in assessing tumor size during follow-up).	15
NCT00548184	HER2 overexpressing tumors defined as HercepTest score of 3+, or \> 10% cells moderately or strongly HER2 positive by other methods, or Allred semi-quantitative score of \>5, or gene amplified.	0
NCT00548184	Negative serum pregnancy test (HCG) within 7 days of starting study, if of child-bearing potential.	7
NCT00548184	Kidney and liver function tests - all within 1.5 times the institution's upper limit of normal.	23
NCT00548184	Performance status (WHO scale) less than 2 and life expectancy more than 6 months.	2
NCT00548184	Age at least 18 years.	28
NCT00548184	No brain or leptomeningeal disease.	15
NCT00548184	No previous or current malignancies at other sites within the last 5 years, with exception of adequately treated cone-biopsied in situ carcinoma of the cervix uteri and basal or squamous cell carcinoma of the skin. Note: The presence of pathological involvement of axillary nodes will be assessed and agreed upon by two investigators.	15
NCT00550134	Patient is 18 years of age but not older than 70years of age	28
NCT00550134	Patient is female	18
NCT00550134	Patient is able to understand English, through verbal and written communication	15
NCT00550134	In the judgment of the investigator and/or the consenting professional patient is able to provide informed consent	22
NCT00550134	Patient has a diagnosis of breast cancer (stage 0, I, II or IIIA-C), limited to localized disease,	4
NCT00550134	Patient is chemotherapy naïve and is receiving chemotherapy or is scheduled to receive no chemotherapy as part of adjuvant treatment	14
NCT00550134	Patient does not report history of prior breast or other cancer with the exception of non-melanoma skin cancer and/or participants who completed treatment for a previous cancer at least 5 years ago and have not undergone any chemotherapy.	4
NCT00550134	Patient is able to undergo MRI scanning (verified with pre MRI Safety Screening form),	15
NCT00550134	Patient can comfortably fit inside the MRI machine, verified by back to chest measurement no more than 10 inches or bust circumference of no more than 48 inches.	15
NCT00553618	Patients must fulfill one of the following criteria:	3
NCT00553618	T4 NO MO - Deep primary melanoma (\> 4.0 mm) with or without lymphadenectomy.	15
NCT00553618	T1-4 N1-3 MO - Primary melanoma with regional lymph node metastases found at lymphadenectomy or sentinel lymph node sampling, but clinically undetectable (occult).	15
NCT00553618	T1-4 N1-3 MO - Primary melanoma with clinically apparent (overt) regional lymph node metastases confirmed by lymphadenectomy.	15
NCT00553618	T1-4 N1-3 MO - Recurrence of melanoma at the proximal regional lymph node(s).	15
NCT00553618	Patients must have undergone a wide excision of the primary and, if \>1mm in depth, have completed sentinel lymph node sampling or lymphadenectomy as is standard of practice. Patients must have confirmation of adequate surgical margins around the primary lesion (1 or 2 cm minimum, for primary lesions of 1-2 mm depth; 2 cm for primary lesions equal to or greater than 2 mm depth). When entering this study with recurrent regional lymph node disease, the patient must be enrolled no later than 90 days from the date of lymphadenectomy.	3
NCT00553618	For subungual melanomas a distal interphalangeal. amputation is required. For patients with regional lymph node recurrence, the same evidence for adequate margins around the primary are required as for patients at initial presentation.	3
NCT00553618	For safety reasons, patients must be of age between 18 and	28
NCT00553618	Patients must have ECOG performance status 0-2.	6
NCT00553618	Patients must have WBC \>3,000, platelet count \>100,000, and hematocrit \>33.	15
NCT00553618	Patients must have SGOT and bilirubin \<2x normal; creatinine \<2.3; BUN \<33.	3
NCT00553618	Patients must have no active medical or psychiatric disorders requiring therapy that would prevent completion of the protocol.	3
NCT00553618	Patients must give written informed consent.	17
NCT00555061	Subject Age: The subject is ≥2 months to ≤24 months of age at study entry	15
NCT00555061	Subject Diagnosis: The subject has a diagnosis of secondarily-infected traumatic lesion (SITL), secondarily-infected dermatoses (SID), or primary impetigo (bullous or non-bullous) that is suitable for treatment with topical antibacterial therapy: The subject has a small laceration, sutured wound or abrasion, which has a secondary bacterial infection. The infected portion of the laceration or sutured wound should not exceed 10cm in length with surrounding erythema not extending more than 2cm from the edge of the wound. Abrasions should not exceed 2% of the total body surface area with surrounding erythema not extending more than 2cm from the edge of the abrasion. The subject has a diagnosis of inflammatory skin disease (i.e., dermatosis), such as atopic dermatitis or contact dermatitis, which has a secondary bacterial infection. The infected portion of the lesion(s) should not exceed 2% of the total body surface area. Impetigo: The subject has a lesion or group of £10 discrete localized lesions on otherwise healthy skin, characterized by red spots or blisters without crusts which later progress to lesions which ooze and form yellow or honey-colored crusts surrounded by an erythematous margin.	15
NCT00555061	Subject SIRS Score: The subject has a total SIRS score of at least 8 (Appendix 1 Skin Infection Rating Scale)	15
NCT00555061	Protocol Compliance: The parent/legal guardian is willing to comply with the protocol	15
NCT00555061	Informed Consent: The parent/legal guardian has given written informed, dated consent for the subject to participate in the study	22
NCT00555061	French Subjects: In France, a subject will be eligible for inclusion in this study if either affiliated to or a beneficiary of a social security category	15
NCT00558662	Males or females, age 18 years or older	28
NCT00558662	Subjects having a venous leg ulcer (stage C6 according CEAP classification, venous pathology proved by the presence of reflux (Pr)), which is at least 1 cm in any dimension but not larger than 10 cm in any dimension and has at least 5 cm distance to additional ulcers.	15
NCT00558662	Subjects who are co-operative, willing to give written informed consent prior to study entry, and willing to comply with the study protocol.	22
NCT00558662	Subjects who are able to understand and answer questionnaire items.	15
NCT00558662	Subjects who can walk (with or without a walking aid).	15
NCT00558662	Subjects who have an ABPI (ankle brachial pressure index) of treated leg greater or equal to 0,8 as measured within four weeks prior to enrollment.	14
NCT00558662	Subjects with venous incompetence as defined by reflux longer than 1,0 second in at least one of the following sites: groin \[femoral vein, junction of GSV\], mid thigh medial \[GSV\], hollow of the knee \[popliteal vein, junction of SSV\], mid calf \[SSV\] in the standing position, measured by Doppler, preferably by duplex within the last 12 month without following active treatment of venous reflux.	15
NCT00563433	Non-hospitalized ambulatory patients with diabetes mellitus	3
NCT00563433	Men or Women greater than 18 years old	9
NCT00563433	Patients must be considered reliable, willing and able to give consent	3
NCT00563433	Female patients must be postmenopausal for a least 6 months or surgically sterilized	3
NCT00563433	Localized infection of the ulcer that would ordinarily be treated on an outpatient basis	15
NCT00563433	Patients who have been previously treated or are currently under treatment for a localized infections of an ulcer may be enrolled in there has been an adequate response to treatment and ulcer is still infected	3
NCT00563433	Patient must have radiograph within two weeks of entry showing no evidence of cortical destruction consistent with osteomyelitis	15
NCT00563433	Patient must have a palpable dorsalis pedis or posterior tibial pulse in the affected foot	15
NCT00563433	Patient may not be taking or have received any other investigational therapy or approved therapy within 30 days prior to entry	14
NCT00563524	Men and Women of nonchildbearing potential 18 years or older.	28
NCT00563524	Physician Area and Severity Index (PASI) greater than	15
NCT00563524	Physician Global Assessment (PGA) greater than 3.	15
NCT00563953	Histologically confirmed invasive breast cancer (tumor \> 2 cm).	4
NCT00563953	Estrogen receptor-negative or -weakly positive tumors (less than 50% of cells), as evaluated using IHC.	0
NCT00563953	Risk factors for developing anthracycline-induced cardiomyopathy.	15
NCT00566085	Women age 18 - 90	28
NCT00566085	Women with breast cancer scheduled to undergo neoadjuvant chemotherapy therapy or neoadjuvant hormone therapy	4
NCT00566085	Women who have undergone any breast imaging procedure, and in whom a repeat imaging procedure is planned prior to definite surgery	15
NCT00570921	Postmenopausal status, defined as any one of the following criteria: Documented history of bilateral oophorectomy, Age 60 years or more, OR Age 45 to 59 and satisfying one or more of the following criteria: Amenorrhea for at least 12 months and intact uterus OR Amenorrhea for less than 12 months and a follicle stimulating hormone (FSH) concentration - within postmenopausal range including: Patients who have had a hysterectomy or Patients who have received hormone replacement	3
NCT00570921	Patients must have histologically confirmed invasive breast cancer	4
NCT00570921	Metastatic or locally advanced disease	25
NCT00570921	Patients must have estrogen receptor and/or progesterone receptor positive disease	0
NCT00570921	Measurable or evaluable disease	10
NCT00570921	Failure of aromatase inhibitor therapy within the previous 6 months. Patients who received prior tamoxifen are eligible to enroll	14
